CUSTOMER_ID,CUSTOMER_NUMBER,CUSTOMER_TYPE,FIRST_NAME,LAST_NAME,BUSINESS_NAME,DATE_OF_BIRTH,TAX_ID_LAST_FOUR,PHONE_NUMBER,EMAIL_ADDRESS,ADDRESS_LINE_1,CITY,STATE_CODE,POSTAL_CODE,ANNUAL_INCOME,RISK_RATING,CUSTOMER_SINCE_DATE,PRIMARY_BRANCH_ID,CUSTOMER_STATUS,CREATED_TS,UPDATED_TS
1,C0000000001,INDIVIDUAL,Catherine,Morris,,1974-07-09,6252,573.687.2148x951,lindsayhernandez@example.org,9176 Jennifer Lights,Rossberg,VT,86491,70798.59,LOW,2018-12-08,20,ACTIVE,2018-12-08 00:00:00,2026-07-18 00:00:00
2,C0000000002,INDIVIDUAL,Grace,Stafford,,1945-02-19,8797,001-716-932-8708x31727,jrivas@example.com,774 Mary Harbor,Simsview,CT,58155,33792.99,MEDIUM,2000-07-07,13,ACTIVE,2000-07-07 00:00:00,2026-07-18 00:00:00
3,C0000000003,BUSINESS,,,Reeves and Sons,,0053,855-881-2236x231,amy60@example.org,9096 Smith Knoll Suite 668,South Jeffrey,CT,57626,776722.48,HIGH,2019-07-03,8,ACTIVE,2019-07-03 00:00:00,2026-07-18 00:00:00
4,C0000000004,INDIVIDUAL,Todd,Price,,1966-10-10,8317,+1-462-972-9806x99016,brentgray@example.org,5646 Conley Mountains Apt. 805,Lake Casey,MA,85927,100439.48,LOW,2004-10-09,8,ACTIVE,2004-10-09 00:00:00,2026-07-18 00:00:00
5,C0000000005,INDIVIDUAL,Billy,Johnson,,1993-09-25,5310,530.992.3271,katie29@example.net,41904 Sanders Stravenue,North Brittany,VT,82714,20474.4,LOW,2023-10-16,14,ACTIVE,2023-10-16 00:00:00,2026-07-18 00:00:00
6,C0000000006,INDIVIDUAL,John,Terry,,1961-08-10,9295,891-990-5865x1850,hamiltonmichael@example.com,2849 Marshall Views,Marcusbury,NY,11860,29254.87,LOW,2013-10-17,18,ACTIVE,2013-10-17 00:00:00,2026-07-18 00:00:00
7,C0000000007,INDIVIDUAL,Joshua,Hayes,,1951-07-09,7787,001-779-696-5075x27354,angela83@example.org,678 Hannah Rue,Westtown,MA,12697,64235.56,LOW,2023-11-23,22,ACTIVE,2023-11-23 00:00:00,2026-07-18 00:00:00
8,C0000000008,INDIVIDUAL,Kelly,Sullivan,,1958-01-17,5107,749.757.8856,qnelson@example.org,351 James Streets,Hillshire,VT,69266,50315.41,HIGH,2009-07-02,23,ACTIVE,2009-07-02 00:00:00,2026-07-18 00:00:00
9,C0000000009,INDIVIDUAL,Candice,Hooper,,1962-03-29,3681,643.252.4082,tranheidi@example.org,09477 Peterson Center Suite 711,Vasquezshire,NY,83003,59323.41,LOW,2023-03-20,21,ACTIVE,2023-03-20 00:00:00,2026-07-18 00:00:00
10,C0000000010,INDIVIDUAL,Glenda,Hernandez,,1946-05-15,0964,001-541-831-8699,tkerr@example.net,9909 Stacey Fords Apt. 412,East Andrea,MA,21018,37452.39,LOW,2026-05-25,4,ACTIVE,2026-05-25 00:00:00,2026-07-18 00:00:00
